"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.04,0.96,0.5830209553319172,-2.975596134078841,0.313202467,16.965047745290907
120,0.1,0.9,0.48757389349951163,-3.9078290483483493,0.31550157959999997,16.99537633201062
140,0.1,0.9,0.5285500319369687,-2.478152978024496,0.32379572840000004,18.274582269996138
160,0.16,0.8400000000000001,0.4545510188033989,-3.15716269568146,0.33382676580000004,18.892125426351583
180,0.26,0.74,0.4906390443000464,-2.895768787846285,0.3352048774,12.881666666666666
200,0.2,0.8,0.43343093286178436,-1.704313721553151,0.33687696,12.263312766132975
220,0.38,0.62,0.45964898498196166,-2.2448432465383985,0.3553295894,10.213696797571743
240,0.38,0.62,0.4546892576208223,-1.7936095247559805,0.34083499840000003,6.3378625800291175
260,0.4800000000000001,0.5199999999999999,0.46853579082306346,-1.359960405753825,0.3473647118,6.085061152590764
280,0.4,0.5999999999999999,0.38290965209777106,-2.5861036637354964,0.35704407820000006,6.946119677303909
300,0.52,0.48,0.479547469317819,-1.0867949279723785,0.35699711580000004,6.838397594953561
320,0.52,0.48,0.44531598485798807,-1.2287713349119698,0.388811404,2.5637499999999998
340,0.5599999999999999,0.43999999999999995,0.4238495977537715,-1.4764085221323593,0.36166244680000004,1.885714484657489
360,0.4800000000000001,0.5199999999999999,0.39838583474176714,-1.8326191301729324,0.3904421226,2.288668948440459
380,0.5,0.5,0.37895901206841537,-1.6135982089479008,0.3850466628,4.134071524347522
400,0.4,0.6,0.3394697372656208,-2.276675840313028,0.40527854879999997,5.232399067349507
420,0.7000000000000001,0.3,0.42726350805909463,-0.8428390175613216,0.38346597720000003,3.9595636183320813
440,0.6,0.4,0.452846088354379,-1.0921777882940444,0.3867096122,1.0148354098527053
460,0.76,0.24,0.45011703257142,-0.8783599385524988,0.4009492384000001,0.8257170796660163
480,0.7,0.3,0.44420177132738453,-0.7958238737118379,0.42268555379999995,1.3421162548999497
500,0.72,0.28,0.44346125252532087,-0.6355748068633185,0.43770875880000004,2.95
