"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.2,0.8,0.6923273614778411,-0.22420500013781391,0.016016231,31.64302845809801
120,0.45,0.55,0.6822326797333618,0.5173654794735685,0.015713188,15.808227024769941
140,0.35,0.6499999999999999,0.5696856701288725,-0.2978151323507163,0.0166777465,14.163459020612565
160,0.45,0.55,0.5790431699305327,0.44860291003554015,0.016207684,17.603445152867092
180,0.45,0.55,0.9241719057106639,0.8852937838575388,0.0163147155,44.60919685944194
200,0.55,0.45,0.8027606189602747,0.7864972944509125,0.0169724025,32.84
220,0.6499999999999999,0.35,0.8418870054017404,0.794314764814796,0.016932470499999998,32.46063385086619
240,0.8,0.2,0.8803122003500025,0.8803036287811186,0.01673263,7.627036613259437
260,0.6499999999999999,0.35,0.944278676670353,0.9375266325165805,0.019392551,36.292660838924874
280,0.6,0.4,0.9716781150734224,0.9684852217169042,0.018869428,31.913024658548785
300,0.7,0.3,0.9780415770226148,0.9770972962624842,0.0182317985,37.41187333810841
320,0.6,0.4,0.9024456694824488,0.9058597676935887,0.017479844,25.701411683018506
340,0.75,0.25,0.9888200046036872,0.9862223315032719,0.0196425335,20.67737609932511
360,0.8,0.2,0.9839033235441317,0.9834342399729933,0.019494841,27.13095812699745
380,0.7,0.3,0.9470627136986006,0.9412378220554367,0.019270567500000002,53.56916630812326
400,0.75,0.25,0.9846939697335558,0.9844014587219482,0.019408778,28.057997077482202
420,0.9,0.1,0.9976605529885694,0.9973082431837152,0.0187645845,20.64676153552324
440,0.8,0.2,0.9936396403707848,0.9932904547060276,0.020394488000000002,25.943210707585557
460,0.7,0.3,0.9729577395375824,0.9725605237745003,0.018766408,19.293472651560727
480,0.75,0.25,0.9839422122449863,0.9849828148699581,0.018902066500000002,22.15346474030642
500,0.95,0.05,0.9972849687421843,0.996872339122585,0.018891673,39.6423127478708
