"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9999999980050086,0.9999999979337385,0.06916451939999999,51.199999999999996
1000,1.0,0.0,0.9999999986337549,0.9999999985891987,0.0259078372,36.203867196751226
1500,1.0,0.0,0.9999999992798208,0.9999999992629481,0.0288784472,29.56033378250884
2000,1.0,0.0,0.9999999993771903,0.9999999993723382,0.027117409800000002,25.599999999999998
2500,1.0,0.0,0.9999999995011015,0.9999999994962874,0.031071057000000003,22.897336089597847
3000,1.0,0.0,0.9999999995879559,0.999999999585486,0.0527880114,20.902312471749784
3500,1.0,0.0,0.9999999996732658,0.999999999671935,0.054834272399999995,19.351781018072437
4000,1.0,0.0,0.9999999997150095,0.9999999997137665,0.05889547020000001,18.101933598375613
4500,1.0,0.0,0.9999999997430521,0.9999999997417145,0.0714247024,17.066666666666666
5000,1.0,0.0,0.999999999730964,0.9999999997303121,0.079088931,16.190861620062098
5500,1.0,0.0,0.9999999997831477,0.9999999997823709,0.07727635719999999,15.437380842381495
6000,1.0,0.0,0.9999999997861699,0.9999999997854296,0.09211716299999999,14.78016689125442
6500,1.0,0.0,0.9999999998190539,0.9999999998184617,0.09750371980000001,14.200325023365867
7000,1.0,0.0,0.9999999998188891,0.9999999998182444,0.0985706856,13.683775585916127
7500,1.0,0.0,0.9999999998392861,0.9999999998389179,0.10848678679999998,13.219783155054646
8000,1.0,0.0,0.9999999998508544,0.9999999998506042,0.1166111092,12.799999999999999
8500,1.0,0.0,0.9999999998570009,0.9999999998567105,0.1208414408,12.41782400186025
9000,1.0,0.0,0.9999999998588599,0.9999999998584886,0.12987445579999998,12.067955732250411
9500,1.0,0.0,0.9999999998693567,0.9999999998690317,0.12564506739999998,11.746085574172763
10000,1.0,0.0,0.9999999998837094,0.9999999998834186,0.147522612,11.448668044798923
