"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.76,0.24000000000000005,0.8327043454145929,0.3487441402437271,0.0786737326,25.600742274395095
120,0.96,0.04,0.9426038274705743,0.899196270089103,0.07936510440000001,44.37250669051728
140,0.8800000000000001,0.12,0.8652499308726982,0.6841970066904771,0.08742474219999999,62.299884086110936
160,1.0,0.0,0.9628628723860363,0.9501429598534766,0.0875335468,66.4185399568524
180,1.0,0.0,0.9644743234075938,0.9558685332786924,0.08605557459999999,62.1
200,1.0,0.0,0.9644819786509957,0.956162291856128,0.08936785620000001,61.61539906955079
220,1.0,0.0,0.9628524427051287,0.9510981325008467,0.0907912716,58.82787844056746
240,1.0,0.0,0.9617145839731679,0.9546556295907379,0.10618590000000001,60.841171367202776
260,1.0,0.0,0.9627949587523421,0.9578387204469058,0.10141425,55.521329390673756
280,1.0,0.0,0.962106875044236,0.9576121780230764,0.0957134328,52.25491801871722
300,1.0,0.0,0.9614610794500171,0.9556548923576994,0.0982906278,52.463432407725655
320,1.0,0.0,0.9625299357493334,0.957914756022,0.0988251384,51.52874999999999
340,1.0,0.0,0.9627886637706263,0.9550614086452454,0.1065299362,53.43059819550416
360,1.0,0.0,0.9625639252253688,0.9582346617873683,0.11893812560000001,47.24887511888511
380,1.0,0.0,0.962895506801333,0.958483368224648,0.1032759378,47.07840274757798
400,1.0,0.0,0.9622110440408733,0.9590221877072764,0.10622991,49.29076446201661
420,1.0,0.0,0.9604765949066035,0.9537476513908579,0.1179387924,48.1399576755111
440,1.0,0.0,0.9618515191605509,0.956879100715126,0.1131018898,45.906378245690036
460,1.0,0.0,0.9618762909418711,0.9587337968761286,0.1306895986,44.87438704922306
480,1.0,0.0,0.9629051941177293,0.959085005182982,0.1208997804,46.911811057202506
500,1.0,0.0,0.9614184053631639,0.9570560322713128,0.1234556358,47.14
