"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.8400000000000001,0.16,0.8471102131583896,-0.16631038727263303,0.082999937,2.752
1000,1.0,0.0,0.9999985983025355,0.9999985660813533,0.09220670500000001,1.1313708498984758
1500,1.0,0.0,0.999999227759455,0.9999992147311829,0.1297011462,0.9237604307034013
2000,1.0,0.0,0.9999994246891273,0.9999994165178991,0.15922717299999997,0.7999999999999999
2500,1.0,0.0,0.9999995178084561,0.9999995113121469,0.1815749454,0.7155417527999327
3000,1.0,0.0,0.9999995804693637,0.9999995776752948,0.1964443866,0.6531972647421808
3500,0.9800000000000001,0.02,0.9797852485925441,0.9790167323377632,0.23802024939999997,0.6047431568147636
4000,0.7,0.3,0.7089533204491678,0.2330447028357062,0.2930686756,0.5543717164502532
4500,1.0,0.0,0.999999367938274,0.9999993631763502,0.3488425332,0.3626666666666667
5000,1.0,0.0,0.9999989897013217,0.9999989827988337,0.4273610926,0.2529822128134703
5500,1.0,0.0,0.9999990852699444,0.9999990799806755,0.4863700894,0.24120907566221086
6000,1.0,0.0,0.9999991782795365,0.9999991734297538,0.5544091256,0.23094010767585033
6500,1.0,0.0,0.9999992002026478,0.9999991972580817,0.6098534668,0.22188007849009167
7000,1.0,0.0,0.9999992647825285,0.9999992597367934,0.6547731506,0.21380899352993948
7500,1.0,0.0,0.9999993398613374,0.9999993367293627,0.7036295022000001,0.20655911179772884
8000,1.0,0.0,0.9999994015553891,0.9999993990808465,0.751561751,0.19999999999999998
8500,1.0,0.0,0.9999994039398754,0.9999994017064877,0.7918623386,0.1940285000290664
9000,1.0,0.0,0.999999449992923,0.9999994482351031,0.8415641804,0.18856180831641267
9500,1.0,0.0,0.9999994983827557,0.9999994968719756,0.9018584964,0.18353258709644943
10000,1.0,0.0,0.9999995286661403,0.9999995268082497,0.9471194430000001,0.17888543819998318
