"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.9,0.1,0.9998272082601473,0.9998154355276787,0.036457903800000004,26.688
1000,1.0,0.0,0.9999999692168178,0.9999999685476786,0.05168243299999999,35.48544670706569
1500,0.9800000000000001,0.02,0.9967554517670564,0.9963663053600417,0.0742721644,24.650547093320267
2000,0.9800000000000001,0.02,0.9997568209870155,0.99973125976602,0.1117048106,24.147999999999996
2500,1.0,0.0,0.9999999745172687,0.999999973936783,0.1929328896,19.745374668514142
3000,0.96,0.04,0.9940056766015097,0.9943482215402328,0.16712268579999998,9.726923768592
3500,1.0,0.0,0.9999999907722721,0.9999999907145195,0.2319368828,19.351781018072437
4000,0.9,0.1,0.9937551225891866,0.993381794972897,0.29386730580000003,11.083191688317944
4500,0.8800000000000001,0.12000000000000002,0.9931634898039841,0.993454697846405,0.3228803866,14.52
5000,1.0,0.0,0.9999999880671563,0.9999999880199507,0.35814455500000003,15.228264300306844
5500,1.0,0.0,0.9999999957771909,0.999999995753714,0.40812160540000003,15.437380842381495
6000,0.86,0.13999999999999999,0.986770334319824,0.9873405818430175,0.48785778879999997,6.673014411293693
6500,0.9800000000000001,0.02,0.9974234282942753,0.9975544098257926,0.554705971,11.376901024579448
7000,0.8,0.2,0.9999467922736688,0.9999470913749361,0.6573984293999999,9.561538190658892
7500,0.9,0.1,0.9999998541988322,0.9999998538451033,0.6526482156,12.957453083071531
8000,0.9400000000000001,0.06000000000000001,0.9979640602225051,0.9980426097573183,0.6804184670000001,8.056499999999998
8500,0.9199999999999999,0.08,0.9859494321273387,0.9864814331107639,0.8169052586,3.6210568817924504
9000,1.0,0.0,0.999999996558268,0.9999999965340234,0.823388703,11.827539426646984
9500,0.9800000000000001,0.02,0.9975287669839625,0.9976495250581838,0.8815869782,11.342313882560575
10000,0.8,0.2,0.9864490507305277,0.9875299594441971,0.875744163,5.136918964710267
