"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.8800000000000001,0.12,0.9673033485154452,0.7783760428531425,300.2501703974,72.89581606649315
120,0.8600000000000001,0.14,0.8845053850392743,0.709462478253099,300.1445962444,37.00362504764455
140,0.74,0.26,0.8099599720888133,0.4657154993783303,300.09156319920004,30.85323993174321
160,1.0,0.0,0.9999986902024975,0.99999838681548,63.892386545600004,89.6045713119593
180,1.0,0.0,0.9999991442595585,0.999999038670148,122.6243633646,85.33333333333334
200,1.0,0.0,0.9999992331090969,0.999999182502104,122.87219863619998,72.04933420927635
